,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
0,Patisseria Artesanal Pierre Forte,"4,8",29,1-10 ,Panadería,"Carrer de Coll i Pujol, 198"
1,Pastelería Pla,"4,6",42,,Pastelería,"Carrer d'Àngel Guimerà, 46"
2,Capibara,"4,9",111,,Repostería,"Carrer de Mar, 125"
3,Fragola By Ferita,"4,8",55,,Repostería,"Carrer d'Alfons XII, 57"
4,Lo de Lucca,"4,8",107,,Helado,"Rambla de Sant Joan, Passatge Riu Mogent, 81, local 6"
5,Pastelería La Vila,"4,5",88,,Repostería,"Av. de Martí Pujol, 192"
6,Swing,"4,6",299,1-10 ,Panadería,"Av. de Catalunya, 39"
7,Granja Verdú,"4,7",113,1-10 ,Repostería,"Carrer de la Pietat, 25"
8,Espan's Badalona,"4,2",177,1-10 ,Panadería,"Carrer de Francesc Layret, 73"
9,Baked by Alba,"4,9",116,,Repostería,"Carrer d'Ignasi Iglesias, 24"
10,Pastelería Milfulls & The Cake Room,"4,7",171,,Repostería,"Carrer del Carme, nº46"
11,Pastelería Guifré,"4,5",246,,Repostería,"Carrer de Guifré, 259"
12,Fontisi | Pastisseria,"4,5",570,,Repostería,"Plaça de Pep Ventura, 16"
13,Bufs de farina,"4,4",180,1-10 ,Cafetería,"Carrer de Guifré, 118"
14,Pastelería Comas,"4,3",579,1-10 ,Pastelería,"Carrer de Sagunt, 65"
15,Hornos de pan Figuera,"4,1",56,1-10 ,Panadería,"Avinguda dels Vents, nº60"
16,Cafetería 18.0 panadería y degustación,"4,7",72,1-10 ,Cafetería,"Av. Morera, 32"
17,Forn de pa Laia,"4,4",393,1-10 ,Panadería,"Av. del President Companys, 45"
18,Neules Canals,"4,4",344,,Repostería,"Carrer del Canonge Baranera, 50"
19,Cafetería Pastelería Loladas,"4,6",151,1-10 ,Repostería,"Carrer de Molí de la Torre, 107"
20,Bomboneria Almera,"4,4",94,,Tienda de productos de chocolate,"Carrer de Mar, 70"
21,Gramola Lab,"5,0",41,,Pastelería,"Carrer del Canonge Baranera, 137"
23,Ca la Cèlia,"4,5",109,1-10 ,Panadería,"Carrer de Baldomer Solà, 140"
