,Anio,Hombres,Mujeres,Total
0,2024,5060.1,6941.2,12001.3
1,2023,5231.4,7009.8,12241.3
2,2022,5395.8,7239.3,12635.1
3,2021,6610.7,8504.5,15115.2
4,2020,6998.2,8728.2,15726.3
5,2019,5844.6,7755.6,13600.2
6,2018,6116.2,8049.8,14165.9
7,2017,6519.5,8234.3,14753.8
8,2016,7699.6,8940.3,16639.8
9,2015,9244.3,9877.3,19121.6
10,2014,10778.9,10496.8,21275.7
11,2013,12121.2,10969.1,23090.3
12,2012,12513.7,10673.2,23186.9
13,2011,12095.7,10030.7,22126.3
14,2010,11590.1,9447.5,21037.6
15,2009,10322.7,8449.4,18772.1
16,2008,6146.3,6403.9,12550.3
17,2007,4122.3,5722.2,9844.4
18,2006,4218.0,5664.8,9882.8
19,2005,4415.1,5704.0,10119.1
