,Fecha,T. media,T. minima,T. maxima,Precipitacion,Nieve,Velocidad viento
0,2024-01-01,7.1,4.0,13.0,0.0,0.0,4.7
1,2024-01-02,9.5,2.0,15.0,0.0,0.0,13.5
2,2024-01-03,14.5,11.0,17.0,0.0,0.0,12.0
3,2024-01-04,10.3,6.0,15.0,0.0,0.0,4.6
4,2024-01-05,10.1,8.0,13.0,20.8,0.0,5.6
5,2024-01-06,8.4,4.0,14.0,0.2,0.0,12.3
6,2024-01-07,8.0,3.0,13.0,0.0,0.0,16.5
7,2024-01-08,5.8,1.0,12.0,0.0,0.0,6.2
8,2024-01-09,3.6,-2.0,11.0,0.0,0.0,5.1
9,2024-01-10,6.0,3.0,9.0,12.9,0.0,2.6
10,2024-01-11,6.8,3.0,11.0,0.1,0.0,6.4
11,2024-01-12,5.8,2.0,11.0,0.1,0.0,8.0
12,2024-01-13,5.9,-1.0,13.0,0.0,0.0,6.8
13,2024-01-14,10.2,4.0,16.0,0.0,0.0,8.6
14,2024-01-15,10.9,6.0,16.0,0.6,0.0,8.2
15,2024-01-16,10.9,7.0,16.0,0.0,0.0,4.3
16,2024-01-17,13.9,9.0,19.0,2.2,0.0,13.4
17,2024-01-18,15.7,11.0,19.0,0.0,0.0,21.8
18,2024-01-19,8.8,6.0,12.0,18.7,0.0,7.0
19,2024-01-20,6.9,2.0,12.0,0.4,0.0,5.1
20,2024-01-21,7.2,4.0,12.0,0.0,0.0,6.1
21,2024-01-22,8.1,3.0,15.0,0.0,0.0,9.3
22,2024-01-23,8.5,3.0,16.0,0.0,0.0,4.6
23,2024-01-24,10.8,5.0,21.0,0.0,0.0,5.4
24,2024-01-25,11.9,6.0,22.0,0.0,0.0,3.9
25,2024-01-26,11.7,6.0,22.0,0.0,0.0,5.0
26,2024-01-27,10.0,5.0,18.0,0.0,0.0,5.6
27,2024-01-28,9.3,5.0,15.0,0.0,0.0,4.6
28,2024-01-29,12.0,10.0,14.0,0.0,0.0,4.5
29,2024-01-30,10.8,7.0,16.0,0.0,0.0,5.0
30,2024-01-31,10.9,5.0,17.0,0.0,0.0,6.4
31,2024-02-01,10.3,4.0,18.0,0.0,0.0,5.3
32,2024-02-02,9.7,5.0,17.0,0.0,0.0,7.5
33,2024-02-03,11.1,4.0,20.0,0.0,0.0,7.3
34,2024-02-04,11.7,4.0,23.0,0.0,0.0,4.2
35,2024-02-05,12.0,4.0,23.0,0.0,0.0,5.6
36,2024-02-06,9.8,5.0,17.0,0.0,0.0,5.0
37,2024-02-07,11.0,3.0,20.0,0.0,0.0,10.1
38,2024-02-08,13.8,8.0,20.0,0.1,0.0,11.2
39,2024-02-09,12.5,10.0,15.0,3.2,0.0,9.6
40,2024-02-10,11.8,9.0,15.0,3.3,0.0,10.9
41,2024-02-11,10.3,7.0,15.0,0.0,0.0,19.8
42,2024-02-12,11.7,6.0,18.0,0.3,0.0,14.5
43,2024-02-13,10.9,6.0,18.0,0.0,0.0,6.8
44,2024-02-14,12.3,5.0,22.0,0.0,0.0,4.2
45,2024-02-15,13.0,9.0,21.0,0.0,0.0,4.4
46,2024-02-16,11.9,8.0,16.0,1.0,0.0,7.4
47,2024-02-17,13.2,9.0,20.0,0.8,0.0,8.2
48,2024-02-18,12.6,6.0,20.0,0.0,0.0,6.8
49,2024-02-19,12.7,9.0,20.0,1.4,0.0,5.9
50,2024-02-20,11.7,7.0,19.0,0.0,0.0,7.1
51,2024-02-21,11.8,6.0,18.0,0.0,0.0,6.3
52,2024-02-22,14.8,11.0,21.0,0.0,0.0,12.2
53,2024-02-23,11.1,7.0,15.0,14.5,0.0,15.2
54,2024-02-24,8.0,4.0,14.0,1.3,0.0,9.9
55,2024-02-25,9.5,3.0,14.0,0.0,0.0,10.0
56,2024-02-26,12.6,9.0,16.0,1.8,0.0,9.5
57,2024-02-27,11.6,6.0,19.0,1.2,0.0,9.0
58,2024-02-28,11.5,6.0,17.0,0.0,0.0,9.5
59,2024-02-29,11.1,3.0,19.0,0.0,0.0,7.3
60,2024-03-01,11.9,7.0,18.0,1.4,0.0,13.4
61,2024-03-02,12.5,6.0,18.0,1.2,0.0,11.6
62,2024-03-03,9.9,5.0,14.0,12.1,0.0,20.5
63,2024-03-04,10.5,3.0,16.0,0.0,0.0,10.9
64,2024-03-05,10.8,5.0,18.0,0.2,0.0,8.5
65,2024-03-06,9.4,3.0,16.0,0.0,0.0,8.2
66,2024-03-07,9.9,5.0,16.0,0.0,0.0,7.5
67,2024-03-08,11.5,7.0,16.0,3.1,0.0,10.9
68,2024-03-09,9.0,5.0,13.0,16.0,0.0,8.8
69,2024-03-10,9.5,5.0,15.0,0.0,0.0,11.9
70,2024-03-11,11.5,7.0,18.0,0.0,0.0,11.5
71,2024-03-12,10.3,5.0,15.0,0.1,0.0,8.2
72,2024-03-13,11.5,4.0,20.0,0.0,0.0,6.6
73,2024-03-14,12.1,5.0,19.0,0.0,0.0,6.0
74,2024-03-15,13.8,11.0,17.0,0.0,0.0,6.3
75,2024-03-16,14.0,8.0,20.0,0.0,0.0,7.4
76,2024-03-17,14.8,10.0,23.0,0.0,0.0,6.3
77,2024-03-18,14.8,10.0,21.0,0.0,0.0,7.1
78,2024-03-19,14.6,10.0,21.0,0.0,0.0,8.1
79,2024-03-20,13.8,9.0,19.0,0.0,0.0,7.7
80,2024-03-21,14.1,10.0,18.0,0.0,0.0,6.3
81,2024-03-22,16.4,10.0,25.0,0.0,0.0,8.0
82,2024-03-23,15.3,11.0,21.0,0.0,0.0,8.9
83,2024-03-24,13.1,11.0,15.0,0.7,0.0,8.0
84,2024-03-25,11.4,11.0,12.0,8.4,0.0,5.1
85,2024-03-26,12.2,10.0,16.0,8.1,0.0,11.7
86,2024-03-27,10.8,5.0,15.0,2.3,0.0,13.6
87,2024-03-28,16.3,13.0,21.0,0.0,0.0,17.9
88,2024-03-29,16.1,12.0,20.0,0.0,0.0,7.4
89,2024-03-30,13.5,11.0,16.0,5.3,0.0,10.9
90,2024-03-31,12.7,10.0,15.0,12.8,0.0,9.7
91,2024-04-01,12.7,7.0,18.0,0.2,0.0,18.2
92,2024-04-02,12.9,8.0,16.0,0.0,0.0,10.8
93,2024-04-03,15.1,10.0,21.0,0.0,0.0,11.6
94,2024-04-04,15.6,7.0,24.0,0.0,0.0,7.6
95,2024-04-05,16.1,11.0,24.0,0.0,0.0,6.8
96,2024-04-06,14.8,8.0,21.0,0.0,0.0,7.1
97,2024-04-07,16.3,12.0,21.0,0.0,0.0,6.5
