,Fecha,T. media,T. minima,T. maxima,Precipitacion,Nieve,Velocidad viento
0,2023-01-01,8.8,4.0,15.0,0.0,0.0,3.8
1,2023-01-02,8.7,3.0,14.0,0.0,0.0,3.4
2,2023-01-03,10.9,8.0,16.0,0.6,0.0,5.0
3,2023-01-04,8.6,3.0,16.0,0.0,0.0,4.6
4,2023-01-05,7.5,2.0,16.0,0.0,0.0,4.4
5,2023-01-06,6.4,0.0,15.0,0.0,0.0,3.8
6,2023-01-07,7.3,1.0,14.0,0.0,0.0,9.9
7,2023-01-08,12.1,8.0,14.0,1.6,0.0,11.7
8,2023-01-09,12.6,9.0,16.0,0.0,0.0,16.3
9,2023-01-10,8.1,3.0,15.0,0.0,0.0,4.4
10,2023-01-11,8.4,4.0,15.0,0.0,0.0,4.9
11,2023-01-12,8.2,3.0,15.0,0.0,0.0,6.9
12,2023-01-13,8.0,3.0,16.0,0.0,0.0,3.8
13,2023-01-14,8.0,2.0,17.0,0.0,0.0,9.5
14,2023-01-15,11.6,7.0,17.0,0.3,0.0,12.0
15,2023-01-16,9.0,4.0,13.0,0.3,0.0,15.8
16,2023-01-17,11.4,7.0,15.0,0.0,0.0,27.1
17,2023-01-18,7.3,4.0,12.0,0.0,0.0,18.3
18,2023-01-19,6.6,3.0,10.0,0.0,0.0,18.1
19,2023-01-20,7.3,1.0,14.0,0.0,0.0,10.0
20,2023-01-21,4.0,-3.0,10.0,0.0,0.0,13.2
21,2023-01-22,2.8,-4.0,11.0,0.0,0.0,6.6
22,2023-01-23,1.7,-5.0,8.0,0.0,0.0,6.1
23,2023-01-24,3.7,2.0,6.0,0.1,0.0,5.6
24,2023-01-25,6.5,2.0,13.0,0.0,0.0,8.1
25,2023-01-26,3.2,-2.0,10.0,0.0,0.0,6.9
26,2023-01-27,4.1,-1.0,11.0,0.0,0.0,5.3
27,2023-01-28,3.5,-2.0,9.0,0.6,0.0,6.4
28,2023-01-29,4.8,-1.0,10.0,0.0,0.0,5.2
29,2023-01-30,4.7,-1.0,12.0,0.0,0.0,9.9
30,2023-01-31,5.7,0.0,14.0,0.0,0.0,6.5
31,2023-02-01,5.8,-1.0,15.0,0.0,0.0,5.7
32,2023-02-02,7.0,-1.0,17.0,0.0,0.0,5.5
33,2023-02-03,7.8,0.0,19.0,0.0,0.0,5.2
34,2023-02-04,9.0,1.0,21.0,0.0,0.0,6.0
35,2023-02-05,8.6,2.0,17.0,0.0,0.0,6.8
36,2023-02-06,8.0,6.0,10.0,0.0,0.0,9.7
37,2023-02-07,7.4,5.0,8.0,38.4,0.0,12.5
38,2023-02-08,7.9,7.0,9.0,1.2,0.0,12.0
39,2023-02-09,6.9,4.0,11.0,0.0,0.0,6.8
40,2023-02-10,6.0,0.0,13.0,0.0,0.0,5.7
41,2023-02-11,4.6,-2.0,13.0,0.0,0.0,6.3
42,2023-02-12,5.1,-2.0,14.0,0.0,0.0,5.2
43,2023-02-13,6.0,-2.0,15.0,0.0,0.0,5.1
44,2023-02-14,6.5,0.0,15.0,0.0,0.0,4.4
45,2023-02-15,7.7,2.0,15.0,0.0,0.0,5.1
46,2023-02-16,6.5,2.0,13.0,0.0,0.0,4.7
47,2023-02-17,8.2,0.0,19.0,0.0,0.0,5.4
48,2023-02-18,9.9,2.0,21.0,0.0,0.0,4.4
49,2023-02-19,10.2,2.0,19.0,0.0,0.0,4.3
50,2023-02-20,9.7,4.0,17.0,0.0,0.0,8.3
51,2023-02-21,11.5,4.0,19.0,0.4,0.0,5.5
52,2023-02-22,11.3,7.0,16.0,0.4,0.0,6.6
53,2023-02-23,9.6,6.0,12.0,6.4,0.0,4.8
54,2023-02-24,8.6,6.0,12.0,7.0,0.0,12.0
55,2023-02-25,7.5,4.0,12.0,0.0,0.0,7.4
56,2023-02-26,7.4,4.0,12.0,8.3,0.0,8.3
57,2023-02-27,4.2,0.0,8.0,3.0,0.0,9.1
58,2023-02-28,7.8,5.0,13.0,0.0,0.0,15.4
59,2023-03-01,5.4,-1.0,12.0,0.0,0.0,7.2
60,2023-03-02,5.5,1.0,11.0,0.1,0.0,6.1
61,2023-03-03,6.9,0.0,15.0,0.0,0.0,6.4
62,2023-03-04,7.2,1.0,16.0,0.0,0.0,9.0
63,2023-03-05,8.2,0.0,17.0,0.0,0.0,8.8
64,2023-03-06,8.4,4.0,13.0,0.0,0.0,7.6
65,2023-03-07,10.5,2.0,18.0,0.0,0.0,11.2
66,2023-03-08,15.2,7.0,22.0,0.0,0.0,13.7
67,2023-03-09,16.9,14.0,22.0,1.7,0.0,13.4
68,2023-03-10,17.3,12.0,23.0,0.0,0.0,22.2
69,2023-03-11,19.5,16.0,25.0,0.0,0.0,23.5
