Variables;Periodo;Total
Total;2022;27,4
Hombres;2022;25,7
Mujeres;2022;29,1
De 16 a 24 años;2022;15,3
De 25 a 34 años;2022;21,1
De 35 a 49 años;2022;26,4
De 50 a 64 años;2022;26,8
De 65 y más años;2022;38,5
Nivel 0-2: preescolar, primaria y secundaria de 1ª etapa;2022;39,2
Nivel 3-4: secundaria de 2ª etapa y postsecundaria no superior;2022;23,8
Nivel 5-8: primer y segundo ciclo de educación superior y doctorado;2022;15,7
Española;2022;26,7
Extranjera (UE);2022;33,1
Extranjera (resto del mundo);2022;34,3
