;Hombres;Mujeres;Total
De 0 a 4 años;4546;4402;8948
De 5 a 9 años;5677;5282;10959
De 10 a 14 años;6519;6013;12532
De 15 a 19 años;6849;6188;13037
De 20 a 24 años;6449;5770;12219
De 25 a 29 años;6284;5925;12209
De 30 a 34 años;6725;6447;13172
De 35 a 39 años;7197;7136;14333
De 40 a 44 años;8579;8303;16882
De 45 a 49 años;9901;9528;19429
De 50 a 54 años;8928;9070;17998
De 55 a 59 años;7879;8053;15932
De 60 a 64 años;6357;7122;13479
De 65 a 69 años;5603;6707;12310
De 70 a 74 años;5001;6047;11048
De 75 a 79 años;4136;5324;9460
De 80 a 84 años;2455;3490;5945
De 85 a 89 años;1468;2487;3955
De 90 a 94 años;563;1341;1904
De 95 a 99 años;94;323;417
100 años o más;10;41;51
Total;111220;114999;226219
