time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.1,4.0,13.0,0.0,,339.0,4.7,20.4,1018.7,
2024-01-02,9.5,2.0,15.0,0.0,,256.0,13.5,44.5,1017.4,
2024-01-03,14.5,11.0,17.0,0.0,,252.0,12.0,44.5,1014.3,
2024-01-04,10.3,6.0,15.0,0.0,,321.0,4.6,24.1,1014.5,
2024-01-05,10.1,8.0,13.0,20.8,,298.0,5.6,24.1,1003.8,
2024-01-06,8.4,4.0,14.0,0.2,,268.0,12.3,40.8,1007.1,
2024-01-07,8.0,3.0,13.0,0.0,,277.0,16.5,57.4,1010.9,
2024-01-08,5.8,1.0,12.0,0.0,,282.0,6.2,37.0,1014.7,
2024-01-09,3.6,-2.0,11.0,0.0,,284.0,5.1,25.9,1019.9,
2024-01-10,6.0,3.0,9.0,12.9,,320.0,2.6,22.2,1018.5,
2024-01-11,6.8,3.0,11.0,0.1,,269.0,6.4,24.1,1019.6,
2024-01-12,5.8,2.0,11.0,0.1,,274.0,8.0,27.8,1024.4,
2024-01-13,5.9,-1.0,13.0,0.0,,274.0,6.8,29.6,1022.8,
2024-01-14,10.2,4.0,16.0,0.0,,274.0,8.6,31.5,1014.1,
2024-01-15,10.9,6.0,16.0,0.6,,294.0,8.2,33.3,1009.4,
2024-01-16,10.9,7.0,16.0,0.0,,315.0,4.3,25.9,1009.4,
2024-01-17,13.9,9.0,19.0,2.2,,242.0,13.4,46.3,1001.5,
2024-01-18,15.7,11.0,19.0,0.0,,248.0,21.8,59.3,1004.5,
2024-01-19,8.8,6.0,12.0,18.7,,29.0,7.0,35.2,1011.2,
2024-01-20,6.9,2.0,12.0,0.4,,269.0,5.1,20.4,1024.0,
2024-01-21,7.2,4.0,12.0,0.0,,285.0,6.1,24.1,1032.5,
2024-01-22,8.1,3.0,15.0,0.0,,281.0,9.3,40.8,1031.7,
2024-01-23,8.5,3.0,16.0,0.0,,330.0,4.6,27.8,1034.7,
2024-01-24,10.8,5.0,21.0,0.0,,337.0,5.4,24.1,1035.0,
2024-01-25,11.9,6.0,22.0,0.0,,301.0,3.9,24.1,1031.1,
2024-01-26,11.7,6.0,22.0,0.0,,292.0,5.0,27.8,1030.8,
2024-01-27,10.0,5.0,18.0,0.0,,318.0,5.6,20.4,1030.4,
2024-01-28,9.3,5.0,15.0,0.0,,346.0,4.6,20.4,1030.8,
2024-01-29,12.0,10.0,14.0,0.0,,65.0,4.5,22.2,1032.0,
2024-01-30,10.8,7.0,16.0,0.0,,292.0,5.0,20.4,1033.3,
2024-01-31,10.9,5.0,17.0,0.0,,267.0,6.4,22.2,1034.0,
2024-02-01,10.3,4.0,18.0,0.0,,298.0,5.3,25.9,1032.2,
2024-02-02,9.7,5.0,17.0,0.0,,283.0,7.5,25.9,1031.3,
2024-02-03,11.1,4.0,20.0,0.0,,272.0,7.3,33.3,1030.9,
2024-02-04,11.7,4.0,23.0,0.0,,294.0,4.2,29.6,1029.4,
2024-02-05,12.0,4.0,23.0,0.0,,271.0,5.6,35.2,1026.9,
2024-02-06,9.8,5.0,17.0,0.0,,312.0,5.0,25.9,1023.2,
2024-02-07,11.0,3.0,20.0,0.0,,273.0,10.1,37.0,1018.4,
2024-02-08,13.8,8.0,20.0,0.1,,247.0,11.2,40.8,1010.2,
2024-02-09,12.5,10.0,15.0,3.2,,232.0,9.6,42.6,995.5,
2024-02-10,11.8,9.0,15.0,3.3,,276.0,10.9,51.8,989.0,
2024-02-11,10.3,7.0,15.0,0.0,,272.0,19.8,63.0,1003.8,
2024-02-12,11.7,6.0,18.0,0.3,,275.0,14.5,53.7,1007.9,
2024-02-13,10.9,6.0,18.0,0.0,,274.0,6.8,25.9,1020.4,
2024-02-14,12.3,5.0,22.0,0.0,,283.0,4.2,24.1,1023.9,
2024-02-15,13.0,9.0,21.0,0.0,,308.0,4.4,18.5,1019.4,
2024-02-16,11.9,8.0,16.0,1.0,,331.0,7.4,22.2,1019.3,
2024-02-17,13.2,9.0,20.0,0.8,,282.0,8.2,24.1,1027.3,
2024-02-18,12.6,6.0,20.0,0.0,,278.0,6.8,29.6,1031.7,
2024-02-19,12.7,9.0,20.0,1.4,,301.0,5.9,22.2,1029.7,
2024-02-20,11.7,7.0,19.0,0.0,,279.0,7.1,27.8,1027.3,
2024-02-21,11.8,6.0,18.0,0.0,,233.0,6.3,35.2,1024.5,
2024-02-22,14.8,11.0,21.0,0.0,,250.0,12.2,50.0,1010.2,
2024-02-23,11.1,7.0,15.0,14.5,,233.0,15.2,53.7,1004.8,
2024-02-24,8.0,4.0,14.0,1.3,,279.0,9.9,31.5,1008.0,
2024-02-25,9.5,3.0,14.0,0.0,,264.0,10.0,51.8,1007.8,
2024-02-26,12.6,9.0,16.0,1.8,,286.0,9.5,42.6,999.3,
2024-02-27,11.6,6.0,19.0,1.2,,274.0,9.0,33.3,1006.2,
2024-02-28,11.5,6.0,17.0,0.0,,239.0,9.5,27.8,1014.2,
2024-02-29,11.1,3.0,19.0,0.0,,250.0,7.3,29.6,1012.5,
2024-03-01,11.9,7.0,18.0,1.4,,264.0,13.4,44.5,1009.9,
2024-03-02,12.5,6.0,18.0,1.2,,236.0,11.6,50.0,1004.2,
2024-03-03,9.9,5.0,14.0,12.1,,254.0,20.5,63.0,1000.0,
2024-03-04,10.5,3.0,16.0,0.0,,268.0,10.9,38.9,1011.9,
2024-03-05,10.8,5.0,18.0,0.2,,310.0,8.5,31.5,1019.0,
2024-03-06,9.4,3.0,16.0,0.0,,304.0,8.2,24.1,1021.3,
2024-03-07,9.9,5.0,16.0,0.0,,39.0,7.5,25.9,1015.3,
2024-03-08,11.5,7.0,16.0,3.1,,277.0,10.9,57.4,1005.2,
2024-03-09,9.0,5.0,13.0,16.0,,268.0,8.8,55.5,998.1,
