año;municipio;edad año a año;sexo;concepto;estado;valor
2022;Badalona;0 años;hombres;población;;856
2022;Badalona;0 años;mujeres;población;;829
2022;Badalona;1 año;hombres;población;;895
2022;Badalona;1 año;mujeres;población;;870
2022;Badalona;2 años;hombres;población;;903
2022;Badalona;2 años;mujeres;población;;937
2022;Badalona;3 años;hombres;población;;980
2022;Badalona;3 años;mujeres;población;;987
2022;Badalona;4 años;hombres;población;;1036
2022;Badalona;4 años;mujeres;población;;1017
2022;Badalona;5 años;hombres;población;;1112
2022;Badalona;5 años;mujeres;población;;993
2022;Badalona;6 años;hombres;población;;1141
2022;Badalona;6 años;mujeres;población;;1085
2022;Badalona;7 años;hombres;población;;1153
2022;Badalona;7 años;mujeres;población;;1038
2022;Badalona;8 años;hombres;población;;1167
2022;Badalona;8 años;mujeres;población;;1100
2022;Badalona;9 años;hombres;población;;1221
2022;Badalona;9 años;mujeres;población;;1143
2022;Badalona;10 años;hombres;población;;1255
2022;Badalona;10 años;mujeres;población;;1166
2022;Badalona;11 años;hombres;población;;1321
2022;Badalona;11 años;mujeres;población;;1195
2022;Badalona;12 años;hombres;población;;1331
2022;Badalona;12 años;mujeres;población;;1223
2022;Badalona;13 años;hombres;población;;1339
2022;Badalona;13 años;mujeres;población;;1289
2022;Badalona;14 años;hombres;población;;1316
2022;Badalona;14 años;mujeres;población;;1199
2022;Badalona;15 años;hombres;población;;1289
2022;Badalona;15 años;mujeres;población;;1123
2022;Badalona;16 años;hombres;población;;1255
2022;Badalona;16 años;mujeres;población;;1188
2022;Badalona;17 años;hombres;población;;1322
2022;Badalona;17 años;mujeres;población;;1227
2022;Badalona;18 años;hombres;población;;1289
2022;Badalona;18 años;mujeres;población;;1115
2022;Badalona;19 años;hombres;población;;1199
2022;Badalona;19 años;mujeres;población;;1098
2022;Badalona;20 años;hombres;población;;1273
2022;Badalona;20 años;mujeres;población;;1077
2022;Badalona;21 años;hombres;población;;1281
2022;Badalona;21 años;mujeres;población;;1111
2022;Badalona;22 años;hombres;población;;1205
2022;Badalona;22 años;mujeres;población;;1107
2022;Badalona;23 años;hombres;población;;1218
2022;Badalona;23 años;mujeres;población;;1137
2022;Badalona;24 años;hombres;población;;1223
2022;Badalona;24 años;mujeres;población;;1148
2022;Badalona;25 años;hombres;población;;1230
2022;Badalona;25 años;mujeres;población;;1059
2022;Badalona;26 años;hombres;población;;1221
2022;Badalona;26 años;mujeres;población;;1119
2022;Badalona;27 años;hombres;población;;1187
2022;Badalona;27 años;mujeres;población;;1080
2022;Badalona;28 años;hombres;población;;1285
2022;Badalona;28 años;mujeres;población;;1175
2022;Badalona;29 años;hombres;población;;1271
2022;Badalona;29 años;mujeres;población;;1183
2022;Badalona;30 años;hombres;población;;1331
2022;Badalona;30 años;mujeres;población;;1209
2022;Badalona;31 años;hombres;población;;1294
2022;Badalona;31 años;mujeres;población;;1211
2022;Badalona;32 años;hombres;población;;1342
2022;Badalona;32 años;mujeres;población;;1302
2022;Badalona;33 años;hombres;población;;1336
2022;Badalona;33 años;mujeres;población;;1310
2022;Badalona;34 años;hombres;población;;1338
2022;Badalona;34 años;mujeres;población;;1373
2022;Badalona;35 años;hombres;población;;1404
2022;Badalona;35 años;mujeres;población;;1368
2022;Badalona;36 años;hombres;población;;1475
2022;Badalona;36 años;mujeres;población;;1324
2022;Badalona;37 años;hombres;población;;1396
2022;Badalona;37 años;mujeres;población;;1488
2022;Badalona;38 años;hombres;población;;1517
2022;Badalona;38 años;mujeres;población;;1532
2022;Badalona;39 años;hombres;población;;1642
2022;Badalona;39 años;mujeres;población;;1566
2022;Badalona;40 años;hombres;población;;1666
2022;Badalona;40 años;mujeres;población;;1589
2022;Badalona;41 años;hombres;población;;1774
2022;Badalona;41 años;mujeres;población;;1757
2022;Badalona;42 años;hombres;población;;1936
2022;Badalona;42 años;mujeres;población;;1755
2022;Badalona;43 años;hombres;población;;2070
2022;Badalona;43 años;mujeres;población;;1883
2022;Badalona;44 años;hombres;población;;2018
2022;Badalona;44 años;mujeres;población;;1938
2022;Badalona;45 años;hombres;población;;2004
2022;Badalona;45 años;mujeres;población;;1838
2022;Badalona;46 años;hombres;población;;1979
2022;Badalona;46 años;mujeres;población;;1935
2022;Badalona;47 años;hombres;población;;1960
2022;Badalona;47 años;mujeres;población;;1845
2022;Badalona;48 años;hombres;población;;1923
2022;Badalona;48 años;mujeres;población;;1882
2022;Badalona;49 años;hombres;población;;1840
2022;Badalona;49 años;mujeres;población;;1875
2022;Badalona;50 años;hombres;población;;1785
2022;Badalona;50 años;mujeres;población;;1824
2022;Badalona;51 años;hombres;población;;1777
2022;Badalona;51 años;mujeres;población;;1823
2022;Badalona;52 años;hombres;población;;1738
2022;Badalona;52 años;mujeres;población;;1718
2022;Badalona;53 años;hombres;población;;1644
2022;Badalona;53 años;mujeres;población;;1671
2022;Badalona;54 años;hombres;población;;1677
2022;Badalona;54 años;mujeres;población;;1690
2022;Badalona;55 años;hombres;población;;1612
2022;Badalona;55 años;mujeres;población;;1651
2022;Badalona;56 años;hombres;población;;1552
2022;Badalona;56 años;mujeres;población;;1544
2022;Badalona;57 años;hombres;población;;1553
2022;Badalona;57 años;mujeres;población;;1585
2022;Badalona;58 años;hombres;población;;1393
2022;Badalona;58 años;mujeres;población;;1543
2022;Badalona;59 años;hombres;población;;1382
2022;Badalona;59 años;mujeres;población;;1481
2022;Badalona;60 años;hombres;población;;1252
2022;Badalona;60 años;mujeres;población;;1356
2022;Badalona;61 años;hombres;población;;1279
