,nombre_local,producto,precio
0,Viva Açai,Bowl Viva Barcelona (500 Ml.),"14,90 €"
1,Viva Açai,Bowl Viva Berlín (700 Ml.),"18,80 €"
2,Viva Açai,Bowl Viva Lisboa (350 Ml.),"12,60 €"
3,Viva Açai,Guaraná,"3,50 €"
4,Viva Açai,Smoothie Viva Barcelona (500 Ml.),"12,20 €"
5,Viva Açai,Bowl Viva Berlín (700 Ml.),"18,80 €"
6,Viva Açai,Bowl Viva Barcelona (500 Ml.),"14,90 €"
7,Viva Açai,Bowl Viva Lisboa (350 Ml.),"12,60 €"
8,Viva Açai,Smoothie Viva Berlín (700 Ml.),"14,50 €"
9,Viva Açai,Smoothie Viva Barcelona (500 Ml.),"12,20 €"
10,Viva Açai,Smoothie Viva Lisboa (350 Ml.),"9,40 €"
11,Viva Açai,Guaraná,"3,50 €"
12,Viva Açai,Coca-Cola Sabor Original Lata 330ml,"3,10 €"
13,Viva Açai,Aguarius de Limón Lata 330ml,"3,10 €"
14,Viva Açai,Agua,"1,75 €"
15,Amazonia Acai,Pao de Queijo (5 unidades),"6,90 €"
16,Amazonia Acai,Amazonia bowl,"10,50 €"
17,Amazonia Acai,Matcha Latte,"5,50 €"
18,Amazonia Acai,Smoothie laranja,"6,90 €"
19,Amazonia Acai,Iced Matcha Latte,"5,90 €"
20,Amazonia Acai,Amazonia bowl,"10,50 €"
21,Amazonia Acai,Tapioca Amendoim,"7,90 €"
22,Amazonia Acai,Pao de Queijo (5 unidades),"6,90 €"
23,Amazonia Acai,Smoothie roxo,"6,90 €"
24,Amazonia Acai,Smoothie verde,"6,90 €"
25,Amazonia Acai,Smoothie vermelho,"6,90 €"
26,Amazonia Acai,Smoothie amarelo,"6,90 €"
27,Amazonia Acai,Smoothie laranja,"6,90 €"
28,Amazonia Acai,Pancakes samba,"9,90 €"
29,Amazonia Acai,Pancakes sonho,"9,90 €"
30,Amazonia Acai,Pancakes salgada,"9,90 €"
31,Amazonia Acai,Tostadas con mantequilla y mermelada,"3,50 €"
32,Amazonia Acai,Tostadas de tomate,"4,50 €"
33,Amazonia Acai,SPRING TOAST,"7,90 €"
34,Amazonia Acai,VEGAN TOAST,"7,90 €"
35,Amazonia Acai,CHOCO TOAST,"7,90 €"
36,Amazonia Acai,PEANUT TOAST,"7,90 €"
37,Amazonia Acai,FRESH TOAST,"7,90 €"
38,Amazonia Acai,Café con Leche,"2,40 €"
39,Amazonia Acai,Café americano,"2,50 €"
40,Amazonia Acai,Café Espresso,"2,00 €"
41,Amazonia Acai,Capuccino,"3,50 €"
42,Amazonia Acai,Café cortado,"2,00 €"
43,Amazonia Acai,Café Solo,"2,00 €"
44,Amazonia Acai,Latte,"4,90 €"
45,Amazonia Acai,Iced Latte,"4,90 €"
46,Amazonia Acai,Matcha Latte,"5,50 €"
47,Amazonia Acai,Iced Matcha Latte,"5,90 €"
48,Amazonia Acai,Agua,"3,00 €"
49,Amazonia Acai,Agua con Gas,"3,50 €"
50,Amazonia Acai,Agua de Coco,"4,50 €"
51,Amazonia Acai,Coca-Cola,"3,50 €"
52,Amazonia Acai,Cerveza Coronita,"3,50 €"
53,Amazonia Acai,Guaraná Antartica,"4,50 €"
54,Amazonia Acai,Kombucha / Kombujito,"4,80 €"
55,Amazonia Acai,"Kombucha / Manzana, Canela y Vainilla","4,80 €"
56,OakBerry,Works-Açai Bowl,"13,15 €"
57,OakBerry,Classic-Açai Bowl,"10,75 €"
58,OakBerry,The Oak-Açai Bowl,"15,55 €"
59,OakBerry,One-Açai Bowl,"9,55 €"
60,OakBerry,OAKBAR Strawberry,"4,30 €"
61,OakBerry,Works-Açai Bowl,"13,15 €"
62,OakBerry,Classic-Açai Bowl,"10,75 €"
63,OakBerry,One-Açai Bowl,"9,55 €"
64,OakBerry,The Oak-Açai Bowl,"15,55 €"
65,OakBerry,Signature - Açai Bowl,"9,55 €"
66,OakBerry,Crunchy - Açai Bowl,"11,75 €"
67,OakBerry,Signature Smoothie,"9,55 €"
68,OakBerry,Crunchy Smoothie,"9,55 €"
69,OakBerry,Smoothie Your Pick,"9,55 €"
70,OakBerry,Matcha Smoothie,"11,40 €"
71,OakBerry,Coffe Punch,"10,75 €"
72,OakBerry,TROPICAL BEATS - Works(500ML),"12,60 €"
73,OakBerry,VERY BERRY - Works(500ML),"12,60 €"
74,OakBerry,POWER PUNCH - Works(500ML),"13,80 €"
75,OakBerry,HYDRATION BOOSTER - Works(500ML),"12,60 €"
76,OakBerry,CRUNCHY BERRIES- Works(500ML),"13,80 €"
77,OakBerry,PURPLE FUEL - Works(500ML),"13,80 €"
78,OakBerry,OAKBAR Açai & Peanut Butter,"4,70 €"
79,OakBerry,OAKBAR Açai & Coco,"4,70 €"
80,OakBerry,OAKBAR Açai & Banana,"4,70 €"
81,OakBerry,OAKBAR Strawberry,"4,30 €"
82,OakBerry,OAKBAR Vainilla,"4,20 €"
83,OakBerry,High Protein Drink - Vainilla,"4,00 €"
84,OakBerry,High Protein Drink - Fresa,"4,30 €"
85,OakBerry,Paçoca Zero - 1Kg,"32,50 €"
86,OakBerry,OAK Whey Protein Vainilla 1kg,"38,50 €"
87,OakBerry,OAK Colágeno 300g,"24,00 €"
88,OakBerry,Granola Premium Oakberry (275g),"6,50 €"
89,OakBerry,Granola Keto 275g,"9,00 €"
90,OakBerry,Agua con Gas,"2,00 €"
91,OakBerry,Agua Mineral,"2,00 €"
92,OakBerry,Agua De Coco.,"2,50 €"
93,Poke House 🐠 Maquinista,Chicken,"7,63 € "
94,Poke House 🐠 Maquinista,Crea Tu Proprio Poke - Medium,"11,90 €"
95,Poke House 🐠 Maquinista,Crea Tu Proprio Poke - Large,"14,90 €"
96,Poke House 🐠 Maquinista,Acai House,"6,50 €"
97,Poke House 🐠 Maquinista,Crea Tu Proprio Poke - Small,"10,90 €"
98,Poke House 🐠 Maquinista,Sunny Salmon®,"10,90 €"
99,Poke House 🐠 Maquinista,Crea Tu Proprio Green Bowl - Medium,"12,90 €"
100,Poke House 🐠 Maquinista,Eastern Spice,"13,90 €"
101,Poke House 🐠 Maquinista,⚡️ NUEVO - Avo & Queso Toast,"6,00 €"
102,Poke House 🐠 Maquinista,Edamame,"3,00 €"
103,Poke House 🐠 Maquinista,Goma Wakame,"3,00 €"
104,Poke House 🐠 Maquinista,Appetizer Mediterranea,"3,00 €"
105,Poke House 🐠 Maquinista,Sweet Potatoes & Mayo,"3,00 €"
106,Poke House 🐠 Maquinista,⚡️ NUEVO - Protein Kick,"3,00 €"
107,Poke House 🐠 Maquinista,⚡️ NUEVO - Summer Salad,"3,00 €"
108,Poke House 🐠 Maquinista,Crea Tu Proprio Poke - Small,"10,90 €"
109,Poke House 🐠 Maquinista,Crea Tu Proprio Poke - Medium,"11,90 €"
110,Poke House 🐠 Maquinista,Crea Tu Proprio Poke - Large,"14,90 €"
111,Poke House 🐠 Maquinista,Sunny Salmon®,"10,90 €"
112,Poke House 🐠 Maquinista,Chicken,"7,63 € "
113,Poke House 🐠 Maquinista,Spicy Tuna,"10,90 €"
114,Poke House 🐠 Maquinista,Vegan,"10,90 €"
115,Poke House 🐠 Maquinista,Hot & Spicy,"12,90 €"
116,Poke House 🐠 Maquinista,Crea Tu Proprio Green Bowl - Small,"10,90 €"
117,Poke House 🐠 Maquinista,Crea Tu Proprio Green Bowl - Medium,"12,90 €"
118,Poke House 🐠 Maquinista,Crea Tu Proprio Green Bowl - Large,"14,90 €"
119,Poke House 🐠 Maquinista,Sweet Greek,"12,90 €"
120,Poke House 🐠 Maquinista,French Riviera,"12,90 €"
121,Poke House 🐠 Maquinista,The Caesar,"12,90 €"
122,Poke House 🐠 Maquinista,Exotic Salmon,"14,90 €"
123,Poke House 🐠 Maquinista,Eastern Spice,"13,90 €"
124,Poke House 🐠 Maquinista,House Combo,"15,40 €"
125,Poke House 🐠 Maquinista,Party Combo,"16,80 €"
126,Poke House 🐠 Maquinista,Avocado Toast Simple,"3,00 €"
127,Poke House 🐠 Maquinista,Avocado House Toast,"5,00 €"
128,Poke House 🐠 Maquinista,Avo & Salmon Toast,"6,50 €"
129,Poke House 🐠 Maquinista,⚡️ NUEVO - Avo & Egg Toast,"6,00 €"
130,Poke House 🐠 Maquinista,⚡️ NUEVO - Avo & Queso Toast,"6,00 €"
131,Poke House 🐠 Maquinista,Mango y Lima,"4,00 €"
132,Poke House 🐠 Maquinista,Piña de Costa Rica,"3,00 €"
133,Poke House 🐠 Maquinista,Acai Tropical,"6,50 €"
134,Poke House 🐠 Maquinista,Acai House,"6,50 €"
135,Poke House 🐠 Maquinista,Elige 2 Hawaiian Mochi,"3,00 €"
136,Poke House 🐠 Maquinista,Elige 3 Hawaiian Mochi,"4,00 €"
137,Poke House 🐠 Maquinista,Elige 1 Hawaiian Mochi,"2,00 €"
138,Poke House 🐠 Maquinista,Brownie,"3,50 €"
139,Poke House 🐠 Maquinista,Franui Leche,"4,50 €"
